TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,plantDate
97556.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,337 28th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-10,3.0,,37.7828973,-122.4882456,2011-10-21 00:00:00
26606.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1485 Bay Shore Blvd,4.0,Sidewalk: Curb side : Cutout,Private,2011-10,6.0,3X3,37.72607324,-122.4015272,2011-10-14 00:00:00
59093.0,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,625 06th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-10,3.0,3x8,37.77673121,-122.4640596,2011-10-11 00:00:00
28733.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1795X Evans Ave,23.0,Sidewalk: Curb side : Cutout,DPW,2011-10,3.0,3x3,37.74497286,-122.3921056,2011-10-29 00:00:00
67954.0,DPW Maintained,Prunus serrulata :: Ornamental Cherry,3300@ Anza Anza St,1.0,Sidewalk: Curb side : Cutout,Private,2011-10,1.0,,37.77828891,-122.4837113,2011-10-14 00:00:00
97605.0,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,445 Hayes St,2.0,Sidewalk: Curb side : Cutout,Private,2011-10,2.0,3x3,37.77673269,-122.4237009,2011-10-27 00:00:00
29832.0,Permitted Site,Magnolia grandiflora :: Southern Magnolia,1695X Evans Ave,30.0,Sidewalk: Curb side : Cutout,Purchasing Dept,2011-10,3.0,4x4,37.74391708,-122.3902499,2011-10-28 00:00:00
97483.0,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,50 19th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-10,3.0,,37.78637097,-122.4786642,2011-10-14 00:00:00
97807.0,DPW Maintained,Prunus cerasifera :: Cherry Plum,1440 Broadway,3.0,Sidewalk: Curb side : Cutout,Private,2011-11,3.0,3x3,37.79617608,-122.4206922,2011-11-17 00:00:00
96771.0,DPW Maintained,Pittosporum undulatum :: Victorian Box,1300X Lane St,7.0,Sidewalk: Curb side : Cutout,SFUSD,2011-11,8.0,4x3,37.73438405,-122.3891265,2011-11-08 00:00:00
97808.0,DPW Maintained,Prunus cerasifera :: Cherry Plum,1440 Broadway,4.0,Sidewalk: Curb side : Cutout,Private,2011-11,3.0,3x3,37.79616398,-122.4207758,2011-11-17 00:00:00
66134.0,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,3259 Baker St,1.0,Sidewalk: Curb side : Cutout,Private,2011-11,3.0,,37.80126871,-122.4465906,2011-11-17 00:00:00
97763.0,DPW Maintained,Prunus cerasifera :: Cherry Plum,115 Commonwealth Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-11,1.0,,37.78356468,-122.4557769,2011-11-08 00:00:00
8236.0,DPW Maintained,Acer rubrum :: Red Maple,1500X Galvez Ave,15.0,Sidewalk: Curb side : Cutout,DPW,2011-11,3.0,3x3,37.73969675,-122.3858405,2011-11-04 00:00:00
15878.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,5519 Mission St,1.0,Sidewalk: Curb side : Cutout,DPW,2011-11,3.0,3x3,37.71220756,-122.4450533,2011-11-17 00:00:00
130004.0,DPW Maintained,Lophostemon confertus :: Brisbane Box,627 Ellis St,1.0,Sidewalk: Curb side : Cutout,DPW,2011-11,5.0,Width 4ft,37.78431445,-122.4166086,2011-11-11 00:00:00
16892.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,311 Oak St,1.0,Sidewalk: Curb side : Cutout,DPW,2011-11,6.0,3X3,37.77466906,-122.4248316,2011-11-05 00:00:00
97972.0,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,325 Bowdoin St,2.0,Sidewalk: Curb side : Cutout,Private,2011-12,4.0,3x3,37.73055441,-122.4126685,2011-12-06 00:00:00
98109.0,DPW Maintained,Lophostemon confertus :: Brisbane Box,2754 Octavia St,1.0,Sidewalk: Curb side : Cutout,Private,2011-12,5.0,3x3,37.79752869,-122.4287601,2011-12-16 00:00:00
63557.0,Permitted Site,Callistemon citrinus :: Lemon Bottlebrush,2971 21st St,1.0,Sidewalk: Curb side : Cutout,Private,2011-12,4.0,3x3,37.7572645,-122.4139016,2011-12-20 00:00:00
97906.0,Permitted Site,Acer palmatum :: Japanese Maple,401 Upper Ter,1.0,Front Yard : Yard,Private,2011-12,60.0,,37.76329058,-122.4458625,2011-12-01 00:00:00
36009.0,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1451 Shotwell St,1.0,Sidewalk: Curb side : Cutout,Private,2011-12,3.0,3x3,37.74586024,-122.4149088,2011-12-13 00:00:00
97958.0,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2280X McKinnon Ave,3.0,Sidewalk: Curb side : Cutout,Private,2011-12,2.0,3x3,37.74328025,-122.4021263,2011-12-06 00:00:00
7308.0,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,1919 Fillmore St,1.0,Sidewalk: Curb side : Cutout,DPW,2011-12,3.0,3x3,37.78762574,-122.433691,2011-12-27 00:00:00
97976.0,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,325 Bowdoin St,6.0,Sidewalk: Curb side : Cutout,Private,2011-12,18.0,3x3,37.73070447,-122.4127111,2011-12-06 00:00:00
82263.0,Permitted Site,Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',850 South Van Ness Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-12,5.0,4x4,37.75954483,-122.4170374,2011-12-23 00:00:00
3923.0,Permitted Site,Lophostemon confertus :: Brisbane Box,99X Castro St,15.0,Sidewalk: Curb side : Cutout,Private,2011-12,3.0,3x3,37.7673852,-122.435543,2011-12-24 00:00:00
97943.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,3003 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,2011-12,3.0,3x3,37.79109659,-122.4447503,2011-12-05 00:00:00
50650.0,DPW Maintained,Tristania conferta ::,821 Folsom St,4.0,Sidewalk: Curb side : Cutout,Private,2012-01,2.0,,37.78164977,-122.4014833,2012-01-19 00:00:00
96706.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Ulloa St,1.0,Sidewalk: Curb side : Cutout,Private,2012-01,1.0,,37.74074087,-122.4874804,2012-01-30 00:00:00
61295.0,Permitted Site,Ginkgo biloba :: Maidenhair Tree,196X Wool St,1.0,Sidewalk: Curb side : Cutout,Private,2012-01,1.0,3x3,37.73920067,-122.417214,2012-01-05 00:00:00
102231.0,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,1285X Castro St,1.0,Sidewalk: Curb side : Cutout,Private,2012-01,5.0,3x3,37.75143723,-122.4340326,2012-01-05 00:00:00
85766.0,DPW Maintained,Ulmus parvifolia :: Chinese Elm,1400X Folsom St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-01,3.0,3x3,37.77273761,-122.4130898,2012-01-11 00:00:00
96708.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Ulloa St,2.0,Sidewalk: Curb side : Cutout,Private,2012-01,1.0,,37.74074374,-122.4875309,2012-01-30 00:00:00
14042.0,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1275 Market St,2.0,Sidewalk: Curb side : Cutout,DPW,2012-01,3.0,4X4,37.77759041,-122.4160021,2012-01-12 00:00:00
34720.0,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,5208 Anza St,1.0,Sidewalk: Curb side : Cutout,Private,2012-01,2.0,,37.77735929,-122.5041321,2012-01-25 00:00:00
